currency_name,currency_symbol,price,percent_change_24h,percent_change_7d,percent_change_30d
Casper,CSPR,0.030333635,0.83848231,-3.9577547,-26.46897991
Decred,DCR,21.47913854,2.10686431,7.02282527,-23.60694259
Enjin Coin,ENJ,0.31189768,2.60751051,0.92049455,-34.36255661
Zilliqa,ZIL,0.022835192,0.92836648,-1.31859423,-31.02182396
Kava,KAVA,0.908792937,-0.08120541,6.03946327,-37.67341343
Arweave,AR,9.238060073,0.532489,-0.95333589,-38.35970425
Helium,HNT,2.285641117,2.2281063,-8.37791048,-45.56874752
Holo,HOT,0.001723331,3.56309517,5.51389262,-20.54932959
NEM,XEM,0.032784707,0.11021175,1.10584031,-20.35324688
Convex Finance,CVX,3.954454931,2.35807602,-9.0240535,-27.92266294
Ethereum Name Service,ENS,14.00118441,0.34900428,2.14755167,-21.47324465
Balancer,BAL,6.129144658,1.54436081,1.41794631,-13.10681293
