,name,artists,genre
76,"All Blues (feat. John Coltrane, Cannonball Adderley & Bill Evans)",Miles Davis,"cool jazz, hard bop, jazz, jazz fusion, jazz trumpet, uk contemporary jazz"
77,Mustafa Ya Mustafa,Nusrat Fateh Ali Khan,"indian fusion, pakistani folk, qawwali, sufi, world"
78,Khamoshiyan,Various Artists,
79,Samba Vexillographica,Devendra Banhart,freak folk
80,A Sight to Behold,Devendra Banhart,freak folk
81,Jazz Suite No. 2: VI. Waltz 2,Dmitri Shostakovich,"classical, compositional ambient, russian modern classical"
82,Moonlight Sonata (2nd Movement),Rousseau,
83,Moonlight Sonata (3rd Movement),Rousseau,
84,Moonlight Sonata (1st Movement),Rousseau,
85,Tere Bina,A.R. Rahman,"filmi, modern bollywood"
86,Uprising,Muse,"modern rock, permanent wave, rock"
87,Gnossienne No.1: Lent,Erik Satie,"classical, early avant garde, early modern classical, impressionism, post-romantic era"
88,"Le nozze di Figaro, K. 492 / Act 3: ""Sull’aria ... Che soave zeffiretto""",Wolfgang Amadeus Mozart,"classical, classical era"
89,"Hawayein (From ""Jab Harry Met Sejal"")",Pritam,"filmi, indian instrumental, modern bollywood"
90,Guaranteed - Humming Version,Eddie Vedder,"acoustic rock, permanent wave, rock"
91,Black Water,Timber Timbre,"new weird america, toronto indie"
92,Vital Transformation (with John McLaughlin) - Remastered,Mahavishnu Orchestra,"art rock, instrumental rock, jazz fusion, progressive rock, symphonic rock"
93,Sea Horse,Devendra Banhart,freak folk
94,Sthlm Sunset,Ehrling,tropical house
95,No Rain,Blind Melon,"alternative metal, alternative rock, blues rock, grunge, pop rock, rock"
96,Paradise,Wild Nothing,"chillwave, dream pop, dreamo, indie rock, indie surf, modern dream pop, nu gaze, shoegaze"
97,It All Feels Right,Washed Out,"alternative dance, chillwave, dream pop, indie rock, indietronica, neo-synthpop, new rave"
98,Another One Bites The Dust - Remastered 2011,Queen,"classic rock, glam rock, rock"
99,In My Life - Remastered 2009,The Beatles,"beatlesque, british invasion, classic rock, merseybeat, psychedelic rock, rock"
100,Sometimes,Miami Horror,"alternative dance, australian dance, australian electropop, electroclash, filter house, indie soul, new french touch, new rave"
101,Highway to Hell,AC/DC,"australian rock, hard rock, rock"
102,Autumn Leaves,Eric Clapton,"blues rock, classic rock, electric blues, rock"
103,"An der schönen blauen Donau, Op. 314",Johann Strauss II,"classical, late romantic era, operetta"
104,Demons,Imagine Dragons,"modern rock, rock"
105,Boat Behind,Kings of Convenience,"bergen indie, melancholia, norwegian indie"
106,You Can't Always Get What You Want,The Rolling Stones,"british invasion, classic rock, rock"
107,Noor E Khuda,Shankar-Ehsaan-Loy,"desi pop, filmi, modern bollywood"
108,Kahin To,A.R. Rahman,"filmi, modern bollywood"
109,Moh Moh Ke Dhaage (Male),Anu Malik,"classic bollywood, desi pop, filmi, modern bollywood"
110,Still Loving You,Scorpions,"album rock, german hard rock, german metal, german rock, hard rock, metal, rock"
111,Patience,Guns N' Roses,"glam metal, hard rock, rock"
112,Laal Ishq,Sanjay Leela Bhansali,modern bollywood
113,Wonderwall - Remastered,Oasis,"beatlesque, britpop, madchester, permanent wave, pop rock, rock"
114,Hymn for the Weekend,Coldplay,"permanent wave, pop"
115,Jiyein Kyun,Pritam,"filmi, indian instrumental, modern bollywood"
116,Ikk Kudi,Amit Trivedi,"desi pop, filmi, modern bollywood"
117,Duaa,Vishal-Shekhar,"desi pop, filmi, modern bollywood"
118,Damn It Feels Good to Be a Gangsta,Geto Boys,"conscious hip hop, g funk, gangster rap, golden age hip hop, hardcore hip hop, hip hop, old school hip hop, rap, southern hip hop"
119,Jessica,Allman Brothers Band,"album rock, blues rock, classic rock, country rock, rock, roots rock, singer-songwriter, soft rock, southern rock"
120,Fool in the Rain - 1990 Remaster,Led Zeppelin,"album rock, classic rock, hard rock, rock"
121,Stella,Tenishia,"deep uplifting trance, progressive house, progressive trance, progressive uplifting trance, trance, uplifting trance"
122,L'urlo della strega,Tangerine Stoned,instrumental stoner rock
123,Revelation (Mother Earth),Ozzy Osbourne,"album rock, birmingham metal, hard rock, metal, rock"
124,Hothon Se Chhu Lo Tum - From Prem Geet,Jagjit Singh,"classic bollywood, desi pop, filmi, ghazal, hare krishna, sufi"
125,"Chopin: Nocturne No. 4 in F Major, Op. 15 No. 1",Frédéric Chopin,"classical, early romantic era, polish classical"
126,While You Sleep,Memoir Music,
127,Yeh Kya Hua,R. D. Burman,"chutney, classic bollywood, filmi, modern bollywood"
128,Rang,Various Artists,
129,Mustafa Ya Mustafa - Complete Original Version,Nusrat Fateh Ali Khan,"indian fusion, pakistani folk, qawwali, sufi, world"
130,Ligaya - Original Instrumental Mix,Gouryella,"bubble trance, dutch trance, trance, uplifting trance"
131,11 Days (ASOT 920),Armin van Buuren ASOT Radio,
132,Samba trance - Original,Hilight Tribe,"didgeridoo, psychedelic trance"
133,Aadat,Various Artists,
134,Knockin' On Heaven's Door,Bob Dylan,"classic rock, country rock, folk, folk rock, indie r&b, rock, roots rock, singer-songwriter"
135,Sayonee,Junoon,"classic pakistani pop, ghazal, pakistani pop"
136,Yeh Jo Halka Halka Suroor Hai,Nusrat Fateh Ali Khan,"indian fusion, pakistani folk, qawwali, sufi, world"
137,Sweet Pain,Nusrat Fateh Ali Khan,"indian fusion, pakistani folk, qawwali, sufi, world"
138,Tumhen Dillagi Bhool Jaani Padegi,Nusrat Fateh Ali Khan,"indian fusion, pakistani folk, qawwali, sufi, world"
139,Stan,Eminem,"detroit hip hop, hip hop, rap"
140,Space Oddity - 2015 Remaster,David Bowie,"art rock, classic rock, glam rock, permanent wave, rock"
141,Dil Haray Pukaray,Jal -The Band,"classic pakistani pop, pakistani pop"
142,I Took A Pill In Ibiza - Seeb Remix,Mike Posner,"dance pop, edm, pop, pop rap"
143,"Moonlight Sonata (First Movement from Piano Sonata No. 14, Op. 27 No. 2)",Various Artists,
144,Beethoven's Silence (Concerto),Ernesto Cortazar,"new age, operatic pop"
145,Panorama,Chapter XJ,
146,The Barber of Seville: Overture,David Parry,
147,"Symphony No.40 In G Minor, K.550 - (2nd Version): 1. Molto Allegro",Wolfgang Amadeus Mozart,"classical, classical era"
148,Solar Level - Original Mix,Signum,"dutch trance, trance, uplifting trance"
149,Numb,Linkin Park,"alternative metal, nu metal, post-grunge, rap metal"
150,Ilahi,Pritam,"filmi, indian instrumental, modern bollywood"
151,Jo Bhi Main,A.R. Rahman,"filmi, modern bollywood"
152,Ajj Din Chadheya,Pritam,"filmi, indian instrumental, modern bollywood"
153,Tum Ho Toh,Shankar-Ehsaan-Loy,"desi pop, filmi, modern bollywood"
154,Sinbad The Sailor,Shankar-Ehsaan-Loy,"desi pop, filmi, modern bollywood"
155,Stand By Me - Remastered 2010,John Lennon,"album rock, art rock, beatlesque, classic rock, mellow gold, rock"
156,Main Nashe Mein Hoon,Jagjit Singh,"classic bollywood, desi pop, filmi, ghazal, hare krishna, sufi"
157,Afreen Afreen,Nusrat Fateh Ali Khan,"indian fusion, pakistani folk, qawwali, sufi, world"
158,Haawa Haawa,A.R. Rahman,"filmi, modern bollywood"
159,Chaudhary,Various Artists,
160,Like Me,Thermal And A Quarter,"bangalore indie, indian indie, indian rock"
161,Lonely,Akon,dance pop
162,I'm Missing You - Ahmed Romel Remix,Ronny K.,
163,Riders on the Storm,The Doors,"acid rock, classic rock, psychedelic rock, rock"
164,Yaaron,KK,"desi pop, filmi, modern bollywood"
165,Breathless,Shankar Mahadevan,"desi pop, filmi, modern bollywood"
166,Kabira,Pritam,"filmi, indian instrumental, modern bollywood"
167,"Tere Bin (From ""Bas Ek Pal"")",Atif Aslam,"classic pakistani pop, desi pop, filmi, modern bollywood, sufi"
168,"Khoon Chala (From ""Rang De Basanti"")",Various Artists,
169,Ya Ali,Various Artists,
170,"Yeh Kya Hua - From ""Amar Prem""",Kishore Kumar,"classic bollywood, desi pop, filmi, modern bollywood"
171,Dream On,Aerosmith,"album rock, classic rock, hard rock, rock"
172,Blowin' in the Wind,Bob Dylan,"classic rock, country rock, folk, folk rock, indie r&b, rock, roots rock, singer-songwriter"
173,Ten Years Gone - 1990 Remaster,Led Zeppelin,"album rock, classic rock, hard rock, rock"
174,Chupke Chupke Raat Din Aansoon Bahanayaad Hai,Ghulam Ali,"classic bollywood, classic pakistani pop, filmi, ghazal, modern bollywood, sufi"
175,How to Save a Life,The Fray,"neo mellow, piano rock, pop, pop rock"
176,Kaisi Paheli Zindagani,Shantanu Moitra,"classic bollywood, filmi, modern bollywood"
